frequency,frequency_str,total_simulation_duration,resource_analysis_available,hw_calibrated_baseline_tgs,hw_calibrated_improved_tgs,hw_calibrated_improvement,pure_sim_current_tgs,pure_sim_improved_tgs,pure_sim_improvement,hybrid_baseline_tgs,hybrid_improved_tgs,hybrid_improvement
600,600MHz,9741047.633185,True,5.063414079489087,54.274255176723955,10.718905134892776,13.590817949172905,47.0376733211056,3.4609891396542594,5.063414079489087,18.019228842627626,3.558711288420997
1000,1000MHz,5844628.58,True,8.439023465815144,90.45709196120657,10.718905134892776,22.65136324827658,78.39612220064888,3.4609891396542594,8.439023465815144,30.02221663410915,3.557546291430917
1600,1600MHz,3652892.8625,True,13.50243754530423,144.73134713793053,10.718905134892776,36.24218119724253,125.4337955210382,3.4609891396542594,13.50243754530423,48.02309370146384,3.556624019947045
2000,2000MHz,2922314.29,True,16.878046931630287,180.91418392241314,10.718905134892776,45.30272649655316,156.79224440129775,3.4609891396542594,16.878046931630287,60.02438485591912,3.5563584518437668
