frequency,frequency_str,pvc_duration,jgs_duration,overall_improvement,compute_improvement,memory_improvement,comm_improvement,jgs_compute_duration,jgs_memory_duration,jgs_comm_duration,jgs_other_duration,performance_gain_percent,pvc_ttft_ms,pvc_tpot_ms,pvc_total_ms,pvc_tgs,pvc_output_rate,jgs_ttft_ms,jgs_tpot_ms,jgs_total_ms,jgs_tgs,jgs_output_rate,llm_improvement,llm_improvement_percent
600,600MHz,9741047.633185,2737240.209645609,3.5587112884207466,3.555555555555556,8.666666666666666,57.735026918962575,2736073.5487097865,414.58776898845696,145.21316508378194,606.8600017499999,255.87112884207465,22229.333332994833,142.55999999782915,22371.893332992662,5.095679578977786,14.029180696060994,6246.455958741056,40.05944524403753,6286.515403985093,18.134052439883327,49.92580371036668,3.558711288420747,255.8711288420747
1000,1000MHz,5844628.58,1642881.947616104,3.5575462914306293,3.555555555555556,8.666666666666666,57.735026918962575,1642668.495750133,138.24595384615492,48.421912124922166,26.784000000000002,255.7546291430629,13337.6,85.536,13423.136,8.492799298166984,23.38196782641227,3749.100899158343,24.043538156070657,3773.1444373144136,30.21352664705861,83.18243292720327,3.5575462914306297,255.75462914306297
1600,1600MHz,3652892.8625,1027067.4780389766,3.556624019947183,3.555555555555556,8.666666666666666,57.73502691896258,1027005.9637499601,45.55739423076871,15.956894785778744,0.0,255.66240199471827,8336.0,53.46,8389.46,13.588478877067178,37.41114852225963,2343.7956762502527,15.031108067698959,2358.8267843179515,48.32911036872205,133.05738944808016,3.556624019947183,255.66240199471827
2000,2000MHz,2922314.29,821715.3387575928,3.556358451843488,3.5555555555555554,8.666666666666666,57.73502691896257,821678.3561250644,27.389284615384597,9.593347912999501,0.0,255.6358451843488,6668.8,42.768,6711.568,16.98559859633397,46.76393565282454,1875.176557791337,12.025784402534175,1887.2023421938711,60.40687712769321,166.3093178003876,3.5563584518434888,255.63584518434888
