frequency,frequency_str,sim_duration,duration_ratio,projected_ttft,projected_tpot,projected_total,theoretical_ttft,theoretical_tpot,theoretical_total,projected_tgs,theoretical_tgs,output_token_rate,performance_improvement
600,600MHz,9741047.633185,2.6666666666260594,22229.333332994833,142.55999999782915,22371.893332992662,22229.333333333332,142.56,22371.893333333333,5.095679578977786,5.095679578900191,14.029180696060994,-62.499999999428965
1000,1000MHz,5844628.58,1.6,13337.6,85.536,13423.136,13337.6,85.536,13423.136,8.492799298166984,8.492799298166984,23.38196782641227,-37.500000000000014
1600,1600MHz,3652892.8625,1.0,8336.0,53.46,8389.46,8336.0,53.46,8389.46,13.588478877067178,13.588478877067178,37.41114852225963,0.0
2000,2000MHz,2922314.29,0.8,6668.8,42.768,6711.568,6668.8,42.768,6711.568,16.98559859633397,16.98559859633397,46.76393565282454,24.99999999999998
